Rk,Player,Tm,FGP,Opp,W-or-L,MP,FG,FGA,FG_PERCENT,threeP,3PA,THREE_PERCENT,FT,FTA,FT_PERCENT,AST,TOV,PF,PTS,Usage,GmSc,FPM
128,Naji Marshall,NOP,@,MEM,W,13:03,2,4,.500,1,2,.500,0,0,,0,0,1,5,0,5.5,marshna01
129,Landry Shamet,WAS,@,DAL,L,13:54,2,5,.400,2,4,.500,0,0,,0,0,2,6,+3,5.5,shamela01
130,Christian Braun,DEN,@,MIL,L,22:25,2,7,.286,0,3,.000,3,4,.750,0,0,2,7,-7,5.2,braunch01
131,Brandin Podziemski,GSW,@,UTA,W,24:55,4,9,.444,2,3,.667,0,0,,3,4,1,10,+9,5.2,podzibr01
132,Ricky Council,PHI,@,CLE,W,20:38,2,7,.286,0,2,.000,4,5,.800,0,0,1,8,+5,5.0,councri01
133,Santi Aldama,MEM,,NOP,L,29:27,2,9,.222,2,8,.250,0,0,,5,1,0,6,-12,4.9,aldamsa01
134,Malaki Branham,SAS,@,TOR,W,20:58,4,12,.333,1,4,.250,1,1,1.000,3,0,1,10,+9,4.9,branhma01
135,John Konchar,MEM,,NOP,L,15:22,1,2,.500,0,1,.000,0,0,,2,1,1,2,-10,4.6,konchjo01
136,Obi Toppin,IND,@,CHO,L,16:54,2,5,.400,2,4,.500,0,0,,1,1,0,6,-8,4.6,toppiob01
137,Jaden Hardy,DAL,,WAS,W,12:55,4,9,.444,2,4,.500,0,0,,0,1,1,10,+9,4.5,hardyja02
138,Cedi Osman,SAS,@,TOR,W,14:43,2,4,.500,1,3,.333,0,0,,2,2,2,5,+11,4.5,osmande01
139,Brandon Boston,LAC,,MIN,L,4:56,2,4,.500,0,1,.000,2,2,1.000,0,0,0,6,+3,4.0,bostobr01
140,Collin Gillespie,DEN,@,MIL,L,13:11,2,4,.500,2,4,.500,0,0,,1,3,0,6,-7,4.0,gilleco01
141,Jordan Miller,LAC,,MIN,L,4:56,1,1,1.000,0,0,,2,2,1.000,0,0,0,4,+3,4.0,millejo02
142,Gui Santos,GSW,@,UTA,W,2:16,1,2,.500,1,2,.500,0,0,,0,0,0,3,+2,4.0,santogu01
143,Scottie Barnes,TOR,,SAS,L,30:14,3,15,.200,1,3,.333,0,1,.000,9,5,3,7,-6,3.8,barnesc01
